Tick,Reward,Star ID
9,10,2
14,5,1
29,10,2
31,5,1
36,10,2
60,10,2
79,10,2
95,10,2
127,10,2
135,10,2
172,10,2
176,5,1
177,10,2
211,10,2
240,10,2
267,10,2
286,10,2
297,10,2
303,5,1
319,10,2
328,10,2
348,10,2
356,10,2
368,5,1
388,10,2
414,10,2
422,10,2
425,10,2
446,10,2
458,10,2
459,5,1
476,10,2
499,10,2
505,10,2
520,10,2
538,10,2
558,10,2
561,5,1
568,5,1
572,10,2
584,10,2
595,10,2
598,10,2
610,10,2
616,10,2
630,10,2
636,10,2
645,5,1
662,10,2
681,10,2
691,5,1
699,5,1
707,5,1
717,5,1
739,10,2
771,10,2
794,10,2
800,5,1
811,10,2
824,10,2
833,5,1
850,10,2
854,10,2
862,5,1
875,10,2
891,10,2
901,10,2
917,10,2
935,10,2
950,10,2
957,10,2
969,10,2
995,10,2
1015,5,1
1022,10,2
1039,10,2
1056,10,2
1061,5,1
1087,10,2
1107,10,2
1124,10,2
1139,10,2
1149,10,2
1162,10,2
1168,10,2
1187,10,2
1194,5,1
1212,10,2
1222,10,2
1238,10,2
1263,10,2
1267,5,1
1281,10,2
1294,10,2
1298,5,1
1308,5,1
1312,5,1
1321,10,2
1331,10,2
1338,5,1
1358,10,2
1362,5,1
1367,5,1
1375,5,1
1379,5,1
1402,10,2
1414,10,2
1435,10,2
1437,5,1
1453,10,2
1462,0,0
1466,10,2
1497,5,1
1499,10,2
1507,5,1
1532,10,2
1559,10,2
1588,10,2
1600,10,2
1607,10,2
1613,5,1
1619,5,1
1636,5,1
1648,10,2
1655,10,2
1663,10,2
1674,5,1
1706,10,2
1730,10,2
1735,5,1
1752,5,1
1762,10,2
1765,5,1
1782,10,2
1788,5,1
1799,10,2
1802,10,2
1814,10,2
1841,10,2
1844,10,2
1847,5,1
1862,5,1
1893,10,2
1902,5,1
1929,10,2
1951,10,2
1975,10,2
1977,10,2
1989,5,1
2000,10,2
