Tick,Reward,Star ID
9,5,1
30,10,2
34,5,1
45,5,1
68,10,2
72,10,2
90,10,2
95,10,2
113,10,2
122,10,2
137,10,2
157,10,2
170,10,2
182,10,2
208,10,2
229,10,2
259,10,2
287,10,2
293,10,2
320,10,2
343,10,2
362,10,2
387,10,2
391,5,1
395,5,1
410,10,2
422,10,2
432,10,2
454,10,2
460,5,1
476,10,2
482,5,1
485,5,1
505,10,2
515,10,2
527,10,2
532,10,2
553,10,2
557,10,2
571,10,2
581,10,2
602,5,1
603,10,2
620,10,2
622,5,1
631,10,2
634,10,2
647,10,2
658,5,1
693,10,2
717,10,2
725,5,1
727,5,1
742,10,2
748,10,2
776,10,2
778,5,1
807,10,2
841,10,2
842,5,1
861,10,2
876,10,2
881,10,2
899,10,2
902,10,2
914,10,2
928,10,2
947,10,2
974,10,2
982,5,1
986,5,1
997,5,1
1036,10,2
1054,10,2
1057,5,1
1065,5,1
1072,5,1
1079,5,1
1088,5,1
1102,5,1
1121,10,2
1128,5,1
1148,10,2
1178,10,2
1184,10,2
1196,10,2
1227,10,2
1238,10,2
1255,10,2
1270,10,2
1276,5,1
1287,10,2
1293,10,2
1298,10,2
1312,10,2
1336,10,2
1360,10,2
1369,5,1
1399,10,2
1422,10,2
1425,5,1
1456,10,2
1483,10,2
1502,10,2
1509,10,2
1515,10,2
1525,10,2
1540,10,2
1562,10,2
1567,5,1
1571,0,0
1591,10,2
1595,10,2
1611,10,2
1636,10,2
1654,10,2
1669,10,2
1675,10,2
1677,5,1
1693,10,2
1723,10,2
1754,10,2
1762,10,2
1780,10,2
1799,10,2
1807,10,2
1812,10,2
1827,10,2
1834,5,1
1859,10,2
1867,10,2
1878,10,2
1882,10,2
1905,10,2
1917,10,2
1935,10,2
1964,10,2
1991,10,2
