Tick,Reward,Star ID
12,10,2
24,0,0
32,0,0
61,0,0
63,0,0
88,5,1
118,10,2
126,5,1
133,10,2
151,0,0
176,0,0
200,5,1
213,10,2
234,5,1
261,5,1
279,0,0
292,5,1
313,0,0
319,0,0
341,10,2
358,10,2
390,10,2
403,10,2
420,10,2
429,0,0
442,0,0
455,5,1
474,10,2
488,10,2
500,5,1
503,5,1
518,0,0
531,5,1
555,5,1
581,0,0
585,5,1
591,10,2
607,5,1
632,5,1
661,0,0
691,0,0
705,10,2
723,0,0
750,0,0
768,5,1
773,10,2
778,0,0
805,10,2
817,10,2
835,0,0
851,5,1
874,10,2
894,5,1
906,10,2
931,5,1
957,5,1
989,0,0
1007,5,1
1013,0,0
1028,5,1
1044,10,2
1061,5,1
1077,0,0
1100,5,1
1129,10,2
1155,10,2
1156,10,2
1173,10,2
1198,10,2
1205,0,0
1235,5,1
1257,10,2
1262,10,2
1281,0,0
1284,10,2
1285,10,2
1304,0,0
1318,10,2
1341,0,0
1351,10,2
1366,5,1
1372,5,1
1398,10,2
1417,5,1
1427,5,1
1435,0,0
1439,10,2
1454,5,1
1464,10,2
1480,0,0
1492,5,1
1514,5,1
1534,0,0
1547,10,2
1558,0,0
1571,0,0
1587,0,0
1615,0,0
1625,5,1
1632,5,1
1655,10,2
1664,5,1
1705,0,0
1708,10,2
1736,10,2
1747,5,1
1773,10,2
1779,5,1
1808,5,1
1842,10,2
1855,0,0
1866,5,1
1867,0,0
1887,10,2
1893,0,0
1926,0,0
1956,0,0
1961,0,0
1973,10,2
