Tick,Reward,Star ID
3,10,2
7,5,1
12,10,2
21,10,2
29,10,2
39,5,1
48,10,2
62,10,2
76,10,2
98,0,0
117,0,0
120,0,0
127,0,0
150,5,1
152,10,2
161,0,0
181,0,0
185,10,2
192,10,2
214,10,2
225,0,0
230,10,2
240,5,1
260,10,2
271,10,2
275,5,1
287,5,1
294,0,0
314,10,2
317,10,2
327,10,2
348,10,2
365,0,0
368,5,1
390,0,0
405,5,1
412,5,1
424,5,1
454,10,2
457,0,0
465,0,0
473,0,0
479,10,2
493,0,0
497,5,1
516,0,0
531,10,2
540,5,1
543,0,0
545,10,2
553,0,0
565,10,2
580,10,2
592,10,2
598,0,0
607,10,2
617,10,2
622,10,2
631,5,1
640,5,1
657,0,0
658,5,1
669,5,1
683,5,1
695,10,2
699,10,2
728,10,2
734,5,1
735,5,1
746,5,1
750,0,0
759,10,2
776,10,2
784,10,2
794,10,2
798,10,2
807,10,2
820,5,1
825,10,2
846,5,1
854,10,2
872,10,2
893,10,2
905,10,2
921,10,2
926,10,2
930,0,0
933,5,1
957,10,2
974,0,0
981,10,2
996,10,2
1010,0,0
1027,10,2
1061,0,0
1062,10,2
1070,5,1
1087,5,1
1105,0,0
1118,5,1
1137,5,1
1144,10,2
1149,10,2
1164,0,0
1165,5,1
1176,0,0
1184,5,1
1204,0,0
1222,0,0
1223,5,1
1237,10,2
1248,10,2
1265,0,0
1268,10,2
1270,10,2
1277,5,1
1279,5,1
1281,10,2
1287,5,1
1290,5,1
1302,5,1
1307,10,2
1313,0,0
1319,10,2
1330,0,0
1337,5,1
1351,5,1
1354,5,1
1360,0,0
1361,0,0
1381,0,0
1390,5,1
1395,10,2
1404,0,0
1409,0,0
1418,5,1
1433,5,1
1440,10,2
1447,0,0
1453,0,0
1482,5,1
1484,0,0
1499,10,2
1514,10,2
1524,5,1
1536,0,0
1553,10,2
1563,5,1
1575,5,1
1591,5,1
1597,10,2
1613,0,0
1630,0,0
1647,5,1
1656,5,1
1657,5,1
1668,10,2
1672,5,1
1679,10,2
1683,0,0
1691,0,0
1699,5,1
1704,0,0
1712,5,1
1732,0,0
1745,0,0
1756,0,0
1763,0,0
1776,0,0
1804,10,2
1806,10,2
1812,0,0
1823,5,1
1830,10,2
1858,0,0
1862,5,1
1873,10,2
1882,0,0
1892,0,0
1905,10,2
1909,0,0
1915,10,2
1924,5,1
1936,0,0
1949,10,2
1958,0,0
1970,10,2
1974,10,2
1991,5,1
