Tick,Reward,Star ID
4,5,1
15,10,2
41,10,2
48,10,2
59,10,2
63,10,2
78,10,2
100,10,2
105,10,2
117,10,2
133,10,2
150,10,2
176,10,2
205,10,2
217,0,0
228,0,0
244,0,0
272,0,0
288,0,0
290,5,1
291,10,2
300,10,2
307,10,2
329,10,2
352,10,2
362,10,2
394,10,2
428,10,2
455,10,2
465,10,2
474,10,2
493,10,2
511,10,2
527,10,2
538,10,2
550,10,2
562,10,2
580,10,2
585,10,2
591,10,2
609,10,2
625,10,2
646,10,2
664,10,2
688,10,2
704,5,1
724,10,2
751,10,2
761,10,2
766,10,2
783,10,2
788,10,2
813,10,2
828,10,2
848,10,2
862,10,2
865,10,2
888,10,2
895,10,2
901,10,2
916,10,2
928,10,2
936,10,2
954,10,2
985,10,2
1009,10,2
1030,10,2
1035,10,2
1044,5,1
1067,10,2
1077,10,2
1098,10,2
1130,10,2
1150,10,2
1160,10,2
1192,10,2
1209,10,2
1226,10,2
1243,10,2
1250,5,1
1265,10,2
1295,10,2
1322,10,2
1351,10,2
1364,10,2
1383,10,2
1393,10,2
1404,0,0
1409,10,2
1435,10,2
1457,5,1
1464,10,2
1467,10,2
1478,10,2
1497,10,2
1510,10,2
1516,10,2
1534,10,2
1556,10,2
1571,10,2
1593,10,2
1620,10,2
1637,5,1
1648,10,2
1674,5,1
1686,10,2
1693,10,2
1707,10,2
1724,10,2
1745,10,2
1755,10,2
1768,10,2
1784,10,2
1801,10,2
1817,10,2
1828,5,1
1838,10,2
1848,10,2
1874,10,2
1895,10,2
1921,10,2
1932,10,2
1945,10,2
1969,10,2
1986,10,2
