Tick,Reward,Star ID
2,5,1
14,5,1
26,0,0
33,5,1
54,5,1
63,5,1
69,0,0
87,0,0
96,5,1
98,10,2
104,10,2
114,5,1
126,5,1
152,10,2
156,10,2
166,0,0
187,10,2
198,5,1
205,5,1
213,5,1
231,10,2
238,10,2
251,0,0
263,5,1
273,5,1
286,5,1
293,0,0
314,0,0
329,0,0
360,0,0
364,0,0
375,10,2
379,5,1
398,5,1
406,0,0
413,10,2
427,5,1
429,10,2
441,5,1
447,10,2
465,0,0
483,5,1
490,10,2
500,0,0
502,5,1
532,10,2
534,5,1
546,0,0
562,5,1
569,5,1
583,10,2
592,0,0
603,0,0
612,10,2
621,5,1
626,0,0
640,0,0
648,0,0
662,0,0
674,5,1
682,0,0
686,10,2
699,5,1
711,10,2
720,0,0
733,10,2
745,5,1
763,5,1
781,10,2
791,0,0
801,5,1
814,0,0
830,10,2
837,0,0
843,0,0
856,10,2
876,5,1
913,0,0
926,0,0
940,10,2
942,5,1
969,5,1
979,5,1
992,0,0
1011,10,2
1025,10,2
1036,10,2
1052,5,1
1066,5,1
1070,5,1
1090,0,0
1108,5,1
1117,10,2
1119,0,0
1131,0,0
1140,5,1
1154,0,0
1156,5,1
1165,5,1
1184,10,2
1192,10,2
1196,5,1
1198,0,0
1224,5,1
1241,5,1
1258,5,1
1268,5,1
1279,10,2
1286,10,2
1290,0,0
1303,5,1
1312,5,1
1328,10,2
1334,5,1
1336,0,0
1347,5,1
1357,10,2
1369,10,2
1384,0,0
1396,10,2
1399,10,2
1403,5,1
1424,10,2
1430,5,1
1446,0,0
1452,0,0
1476,5,1
1484,0,0
1508,10,2
1514,0,0
1524,10,2
1549,5,1
1551,5,1
1556,0,0
1558,10,2
1586,5,1
1595,5,1
1603,0,0
1604,10,2
1612,10,2
1617,0,0
1624,0,0
1646,5,1
1658,10,2
1663,10,2
1671,10,2
1672,10,2
1683,0,0
1688,0,0
1693,10,2
1705,10,2
1717,10,2
1723,10,2
1742,5,1
1751,10,2
1758,0,0
1764,5,1
1774,10,2
1786,10,2
1790,10,2
1798,10,2
1823,5,1
1826,5,1
1829,5,1
1841,10,2
1844,10,2
1850,0,0
1856,0,0
1872,0,0
1885,0,0
1906,0,0
1907,10,2
1923,0,0
1927,0,0
1934,10,2
1944,10,2
1961,10,2
1967,10,2
1981,0,0
