Tick,Reward,Star ID
0,0,0
1,0,0
2,5,1
3,0,0
4,5,1
5,10,2
6,0,0
7,10,2
8,10,2
9,10,2
10,5,1
11,10,2
12,10,2
13,10,2
14,10,2
15,10,2
16,10,2
17,10,2
18,10,2
19,10,2
20,10,2
21,5,1
22,10,2
23,5,1
24,10,2
25,10,2
26,5,1
27,10,2
28,10,2
29,10,2
30,5,1
31,10,2
32,5,1
33,5,1
34,10,2
35,10,2
36,10,2
37,10,2
38,10,2
39,10,2
40,10,2
41,10,2
42,10,2
43,10,2
44,5,1
45,10,2
46,10,2
47,10,2
48,5,1
49,5,1
50,10,2
51,10,2
52,10,2
53,5,1
54,5,1
55,5,1
56,10,2
57,10,2
58,10,2
59,10,2
60,10,2
61,10,2
62,5,1
63,10,2
64,10,2
65,10,2
66,10,2
67,10,2
68,10,2
69,10,2
70,10,2
71,10,2
72,10,2
73,5,1
